Address:,USB0::0x2A8D::0x0396::CN60117105::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),3 (VOLT),
,,,0.110893518662,0,-0.604271441698074,
,,,0.111002018879,0,-0.604271441698074,
,,,0.111110519096,0,-0.604271441698074,
,,,0.111219019313,0.40201011300087,-0.604271441698074,
,,,0.11132751953,0.40201011300087,-0.604271441698074,
,,,0.111436019747,0.40201011300087,-0.604271441698074,
,,,0.111544519964,0.40201011300087,-0.403266414999962,
,,,0.111653020181,0.40201011300087,-0.403266414999962,
,,,0.111761520398,0.40201011300087,-0.604271441698074,
,,,0.111870020615,0.40201011300087,-0.604271441698074,
,,,0.111978520832,0.40201011300087,-0.604271441698074,
,,,0.112087021049,0,-0.403266414999962,
,,,0.112195521266,0,-0.403266414999962,
,,,0.112304021483,0.40201011300087,-0.403266414999962,
,,,0.1124125217,0,-0.403266414999962,
,,,0.112521021917,0.40201011300087,-0.403266414999962,
,,,0.112629522134,0.40201011300087,-0.403266414999962,
,,,0.112738022351,0,-0.403266414999962,
,,,0.112846522568,0,-0.403266414999962,
,,,0.112955022785,0,-0.403266414999962,
,,,0.113063523002,0,-0.403266414999962,
,,,0.113172023219,0.40201011300087,-0.403266414999962,
,,,0.113280523436,0.40201011300087,-0.403266414999962,
,,,0.113389023653,0,-0.403266414999962,
,,,0.11349752387,0.40201011300087,-0.403266414999962,
,,,0.113606024087,0,-0.403266414999962,
,,,0.113714524304,0.40201011300087,-0.403266414999962,
,,,0.113823024521,0.40201011300087,-0.403266414999962,
,,,0.113931524738,0.40201011300087,-0.403266414999962,
,,,0.114040024955,0.40201011300087,-0.202261388301849,
,,,0.114148525172,0.40201011300087,-0.403266414999962,
,,,0.114257025389,0,-0.403266414999962,
,,,0.114365525606,0,-0.403266414999962,
,,,0.114474025823,0.40201011300087,-0.403266414999962,
,,,0.11458252604,0,-0.403266414999962,
,,,0.114691026257,0,-0.403266414999962,
,,,0.114799526474,0.40201011300087,-0.403266414999962,
,,,0.114908026691,0,-0.403266414999962,
,,,0.115016526908,0,-0.403266414999962,
,,,0.115125027125,0.40201011300087,-0.403266414999962,
,,,0.115233527342,0,-0.604271441698074,
,,,0.115342027559,0,-0.403266414999962,
,,,0.115450527776,0.40201011300087,-0.403266414999962,
,,,0.115559027993,0,-0.403266414999962,
,,,0.11566752821,0,-0.403266414999962,
,,,0.115776028427,0,-0.604271441698074,
,,,0.115884528644,0.40201011300087,-0.604271441698074,
,,,0.115993028861,0.40201011300087,-0.604271441698074,
,,,0.116101529078,0,-0.403266414999962,
,,,0.116210029295,0,-0.604271441698074,
